No.,Audited, Net Size (m) ,Water Body Abv.,Water Body,Collection Date,Process Date,Sample Time, Depth (m) , Count ,Station,Sample Label,Sample Type,Sample No., Length (mm) ,Gender,Comments
1,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,1, 14.605 ,U,
2,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,2, 14.947 ,M1,
3,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,3, 15.839 ,F1,
4,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,4, 14.870 ,M1,
5,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,5, 9.210 ,J,
6,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,6, 14.771 ,M1,
7,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,7, 6.710 ,J,
8,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,8, 5.044 ,J,
9,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,9, 8.614 ,J,
10,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,10, 4.658 ,J,
11,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,11, 4.502 ,J,
12,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,12, 4.305 ,J,
13,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,13, 5.850 ,J,
14,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,14, 9.642 ,J,
15,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,15, 6.184 ,J,
16,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,16, 5.753 ,J,
17,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,17, 6.528 ,J,
18,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,18, 9.147 ,J,
19,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,19, 10.794 ,U,
20,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,20, 5.485 ,J,
21,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,21, 4.302 ,J,
22,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,22, 8.608 ,J,
23,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,23, 4.430 ,J,
24,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,24, 16.003 ,F1,
25,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,25, 5.605 ,J,
26,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,26, 6.291 ,J,
27,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,27, 9.607 ,J,
28,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,28, 6.081 ,J,
29,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,29, 6.451 ,J,
30,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,30, 5.142 ,J,
31,Yes, 0.5 ,DIL,Dillon Reservoir,"July 20, 2014","August 14, 2014",21:55, 16.5 , 31 ,DIL-6,DIL_MYS_072014-001,PF,31, 4.174 ,J,
32,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,1, 5.394 ,J,
33,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,2, 6.568 ,J,
34,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,3, 5.694 ,J,
35,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,4, 10.251 ,U,
36,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,5, 14.749 ,M1,
37,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,6, 8.113 ,J,
38,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,7, 4.492 ,J,
39,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,8, 6.655 ,J,
40,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,9, 5.794 ,J,
41,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,10, 5.587 ,J,
42,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,11, 6.070 ,J,
43,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,12, 5.544 ,J,
44,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,13, 10.487 ,U,
45,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,14, 6.770 ,J,
46,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,15, 5.558 ,J,
47,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,16, 9.946 ,J,
48,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,17, 4.914 ,J,
49,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,18, 5.851 ,J,
50,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,19, 6.728 ,J,
51,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,20, 5.896 ,J,
52,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,21, 6.341 ,J,
53,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,22, 6.319 ,J,
54,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,23, 6.331 ,J,
55,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,24, 6.079 ,J,
56,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,25, 13.750 ,M1,
57,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,26, 15.190 ,M1,
58,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,27, 7.084 ,J,
59,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,28, 6.217 ,J,
60,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,29, 4.916 ,J,
61,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,30, 5.425 ,J,
62,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,31, 6.787 ,J,
63,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,32, 6.655 ,J,
64,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,33, 10.329 ,U,
65,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,34, 15.265 ,M1,
66,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,35, 7.590 ,J,
67,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,36, 6.701 ,J,
68,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,37, 5.444 ,J,
69,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,38, 15.104 ,M1,
70,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,39, 7.251 ,J,
71,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,40, 6.761 ,J,
72,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,41, 7.584 ,J,
73,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,42, 6.011 ,J,
74,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,43, 8.038 ,J,
75,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,44, 6.725 ,J,
76,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,45, 7.004 ,J,
77,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,46, 15.910 ,M1,
78,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,47, 14.782 ,M1,
79,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,48, 5.818 ,J,
80,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,49, 8.596 ,J,
81,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,50, 8.177 ,J,
82,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,51, 5.989 ,J,
83,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,52, 6.268 ,J,
84,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,53, 7.206 ,J,
85,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,54, 15.738 ,U,
86,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,55, 7.176 ,J,
87,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,56, 6.543 ,J,
88,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,57, 14.000 ,M1,
89,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,58, 6.743 ,J,
90,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,59, 7.784 ,J,
91,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,60, 5.929 ,J,
92,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,61, 6.994 ,J,
93,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,62, 6.850 ,J,
94,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,63, 4.710 ,J,
95,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,64, 10.636 ,U,
96,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,65, 7.747 ,J,
97,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,66, 5.881 ,J,
98,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,67, 4.146 ,J,
99,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,68, 9.667 ,J,
100,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,69, 14.377 ,M1,
101,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,70, 7.868 ,J,
102,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,71, 6.569 ,J,
103,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,72, 5.980 ,J,
104,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,73, 6.405 ,J,
105,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,74, 6.884 ,J,
