,,,,,,,,,,,,,,,,,,,,,,,,
FOR SAS INPUT,,,,,,,,,,0.7854,0.19635,,,,,,,,,,,,,
,,,,,,,,,,n/m2 - ALL,,n/m2 - JUV,,proportion juveniles,,F:M sex ratio,,mean TL,,,catch (n),,,
Stratum,Station,month,day,year,Sample Date,SAS date,site,stratum,Depth (m),full,half,full,half,full,half,full,half,full,half,,full,half,,Time
III-C,DIL-10,7,20,2014,07/20/14,19924,10,1020,16.5,199.9,157.9,159.15,122.26,0.8,0.77,0.07,0.67,7.96,8.2,,157,31,,21:55
II-C,DIL-9,7,20,2014,07/20/14,19924,9,2040,42.7,159.2,178.3,100.59,91.7,0.63,0.51,0.36,0.1,9.46,9.96,,125,35,,22:12
III-D,DIL-8,7,20,2014,07/20/14,19924,8,1020,21.2,154.1,76.4,117.14,50.94,0.76,0.67,0.55,NA,8.64,9.36,,121,15,,22:28
II-D,DIL-7,7,20,2014,07/20/14,19924,7,2040,26.4,212.6,101.9,94.22,30.57,0.44,0.3,0.37,0.3,11.3,12.37,,167,20,,22:38
I-A,DIL-6,7,20,2014,07/20/14,19924,6,4060,67.9,50.9,66.2,22.92,45.85,0.45,0.69,0.36,NA,11.04,8.9,,40,13,,22:50
I-B,DIL-5,7,20,2014,07/20/14,19924,5,4060,50,151.5,173.2,82.76,112.07,0.55,0.65,0.5,0.43,10.48,9.43,,119,34,,23:06
II-B,DIL-4,7,20,2014,07/20/14,19924,4,2040,35.3,906.5,738.5,746.12,606.21,0.82,0.82,0.31,0.58,7.65,8.01,,712,145,,23:23
III-B,DIL-3,7,20,2014,07/20/14,19924,3,1020,14.6,263.6,356.5,244.46,331.13,0.86,0.93,NA,NA,6.87,6.72,,207,70,,23:34
II-A,DIL-2,7,20,2014,07/20/14,19924,2,2040,35.3,301.8,356.5,215.18,305.65,0.71,0.86,0.85,0.25,9.17,7.28,,237,70,,23:46
III-A,DIL-1,7,20,2014,07/20/14,19924,1,1020,17.3,435.4,336.1,357.78,290.37,0.82,0.86,0.5,NA,8.35,7.84,,342,66,,0:03
III-C,DIL-10,7,21,2014,07/21/14,19925,10,1020,14.3,303,269.9,230.46,213.96,0.76,0.79,0.39,NA,8.48,8.32,,238,53,,21:33
II-C,DIL-9,7,21,2014,07/21/14,19925,9,2040,43.4,197.4,193.5,112.04,81.51,0.57,0.42,0.74,0.06,10.45,11.08,,155,38,,21:44
III-D,DIL-8,7,21,2014,07/21/14,19925,8,1020,21.7,123.5,213.9,68.75,117.17,0.56,0.55,0.87,0.86,10.39,9.6,,97,42,,21:58
II-D,DIL-7,7,21,2014,07/21/14,19925,7,2040,29,126.1,127.3,59.84,56.04,0.47,0.44,0.33,0.6,10.79,10.93,,99,25,,22:06
I-A,DIL-6,7,21,2014,07/21/14,19925,6,4060,69.2,72.6,91.7,35.65,50.94,0.49,0.56,0.22,NA,10.73,10.2,,57,18,,22:18
I-B,DIL-5,7,21,2014,07/21/14,19925,5,4060,50.2,119.7,122.2,64.94,61.13,0.54,0.5,0.79,0.43,10.74,10.07,,94,24,,22:32
II-B,DIL-4,7,21,2014,07/21/14,19925,4,2040,32.8,552.6,488.9,403.62,361.69,0.73,0.74,0.24,0.17,7.99,8.42,,434,96,,22:49
III-B,DIL-3,7,21,2014,07/21/14,19925,3,1020,14.9,164.2,280.1,136.24,254.71,0.83,0.91,0.14,NA,7.83,7.06,,129,55,,22:55
II-A,DIL-2,7,21,2014,07/21/14,19925,2,2040,33.5,399.8,361.6,238.1,183.39,0.6,0.51,0.4,0.69,9.92,10.68,,314,71,,23:10
III-A,DIL-1,7,21,2014,07/21/14,19925,1,1020,17,217.7,478.7,169.34,356.6,0.78,0.74,0.33,NA,8.4,8.75,,171,94,,23:25
 III-C , DIL-10 ,8,18,2014,08/18/14,19953,10,1020,23.5,157.9,132.4,85.31,66.23,0.67,0.78,0.26,NA,10.71,10.08,,124,26,,21:03
 II-C , DIL-9 ,8,18,2014,08/18/14,19953,9,2040,43.2,140.1,234.3,31.83,91.7,0.23,0.39,0.7,2,13.48,12.44,,110,46,,21:24
 III-D , DIL-8 ,8,18,2014,08/18/14,19953,8,1020,19.9,149,183.3,48.38,30.57,0.32,0.17,0.82,0.22,12.04,12.79,,117,36,,21:37
 II-D , DIL-7 ,8,18,2014,08/18/14,19953,7,2040,26.3,151.5,112,30.56,25.47,0.2,0.23,0.61,0.3,14.21,13.38,,119,22,,21:44
 I-A , DIL-6 ,8,18,2014,08/18/14,19953,6,4060,67.7,105.7,101.9,31.83,5.09,0.3,0.05,1.21,1,13.61,15.4,,83,20,,21:53
 I-B , DIL-5 ,8,18,2014,08/18/14,19953,5,4060,49.7,147.7,320.9,54.75,122.26,0.37,0.38,0.33,0.14,12.57,12.39,,116,63,,22:42
 II-B , DIL-4 ,8,18,2014,08/18/14,19953,4,2040,39.2,342.5,539.9,243.19,336.22,0.71,0.62,0.39,1.17,9.39,9.96,,269,106,,22:21
 III-B , DIL-3 ,8,18,2014,08/18/14,19953,3,1020,14.9,268.7,86.6,193.53,56.04,0.72,0.65,NA,0.5,8.93,9.51,,211,17,,22:33
 II-A , DIL-2 ,8,18,2014,08/18/14,19953,2,2040,34.9,151.5,234.3,52.2,91.7,0.34,0.39,0.31,0.38,11.85,11.42,,119,46,,22:44
